"x"
"괜히 짠해서 눈물이 ㅜㅜ 우디야 은퇴하고 즐거운 제2의 삶 살어  "
"관람객재미 짱...다시 보고 소장해 놓고 보고싶은 영화  "
"관람객훈훈한 영화였어요!  가족영화로 좋은 듯  "
"관람객아이때문에 갔는데  제가 더 재미있게 보고왔습니다.  "
"관람객끊임없이 새친구한테 용기를 불어넣어주는 우디의 모습이 참 좋다  "
"포크가 다 해먹은 영화. 그리고 나이프 등장.  "
"관람객5편 어서나왔으면 좋겠어요 ㅠㅠㅠㅠ 재밌어용 ㅠㅜㅠ 강츄 !!!  "
"관람객토이스토리 시즌5 나오면 좋겠다ㅠㅠ  "
"관람객5살  우리 둘쨰도 집중해서 볼 만큼 재미 있었어요  "
"관람객너무나도 마음에 와닿은 영화ㅠㅠ 내면의 목소리에 말을 귀울입시다 다들  "
"관람객가족끼리 보기에 좋은 영화 입니다.  재밌어요  "
"관람객재밌게봤어요5세 딸아이와요^^  "
"3으로 그렇게 완벽하게 끝나놓고 또 나와? 했는데. 그래서 4의 완결은 생각지도 못한 결말이었다. 제목이 toys story가 아니라 toy story 라는것에서 애당초 우디의 이야기이지 않았을까. 생각했다.  "
"관람객그냥의리로봐야할듯요  "
"관람객우디의 새 삶을 응원할게. 언제든 내가 다시 네가 그립고 나도 너처럼 새로운 삶을 다시 시작하는 날이 오면, 널 떠올릴 수 있으면 좋겠다. 항상 내 나이의 앞자리가 바뀔때마다 함께 해온 토이스토리. 고맙고 고마웠어  "
"관람객아이들때문에 보게된 토이 내가 보고싶어진 토이...,  "
"관람객재밌구요.또 보고싶어요!!! 어릴적 기억이 새록새록~~  "
"관람객재미있고 감동도있네요~~~~  "
"관람객이전과도 같이 최고였다  "
"우디 행복해라ㅠㅠ 엉엉 ㅠㅠㅠ  "
"관람객또보고싶은영화입니다  "
"관람객마지막에 울뻔 자신을 찾아떠난 우디  "
"보고싶다 나 오디야 주말에 보러갈께  "
"우디야 고생많았다..앞으론 너의 인생 마음껏 즐기며 살아  "
"우디야 넌 최고였어 내 어린시절을 추억할수 있게 해줘서 고마워 포키는 존귀였다 만들러간다  "
"굳이 우디의 마음에 상처를 줘야 했나... 그냥 깔끔하게 3편으로 끝내지ㅜ  "
"냉정하게 3편보단 감흥이 덜하네여 5편을 좀 더 기대해보겠습니다.  "
"역대 픽사 영화 중 가장 웃음 타율이 높은 별책부록. 누군가를 통해, 혹은 각자의 때에 이르러 변화될 수 있는 다양한 존재 가치와 삶의 방향성을 따라 낙심하지 말고 끊임없이 도전해야 함을 말하는 영화. 그러나 뭉클한 인트로 이후 마음에 남는 건 없다.  "
"시즌3에서 아름답게 끝났어야 했다고 생각했던 내가 바보였다. 더욱 더 아름답고 슬픈 이야기로 나를 웃기고 울렸다. 시즌1에서 이번 시즌4까지 한 편 한 편 모지람없이 완벽하다.  "
"관람객25년. 앤디와 자라는 시간을 공유한 사람으로서 우디가 가장 소중하지 않을 때, 예전 같을 수 없으며 떠나보내야만 했을 때, 보니에게 다른 가치를 가질 때.. 우디는 더이상 장난감일 수 없겠지요. 자신만을 위한 반백년만의 선택에 진한 그리움을 느낍니다  "
"토이스토리 1,2,3 다 안보고 4를 봤는데 우디의 행복했던 지난날들이 이 한편으로 설명이 됬다. 어른을 울리는 애니메이션  "
"우디야행복해라 덕분에 행복했어..  "
